,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
56,1024,61.0,101104,7.774691607017303,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
57,2048,61.0,101104,7.774691607017303,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
58,4096,61.0,101104,7.774691607017303,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
59,8192,61.0,101104,7.774691607017303,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.4,8192
60,0,0.0,200,0.005824191001011059,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",200,0.5,8192
61,1,59.0,402,0.025546721008140594,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
62,2,59.0,603,0.04542087801382877,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
63,4,61.0,1006,0.08066033601062372,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
64,8,61.0,1810,0.14645006199134514,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
65,16,61.0,3418,0.27279555701534264,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
66,32,61.0,6634,0.5202805990120396,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
67,64,61.0,13066,1.0136697400012054,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
68,128,61.0,25930,2.002144692989532,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
69,256,61.0,51658,3.9751942040165886,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
70,512,61.0,101506,7.797250489995349,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
71,1024,61.0,101506,7.797250489995349,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
72,2048,61.0,101506,7.797250489995349,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
73,4096,61.0,101506,7.797250489995349,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
74,8192,61.0,101506,7.797250489995349,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",200,0.5,8192
75,0,0.0,200,0.005857086012838408,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]",200,0.6,8192
