,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,schedule,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
69,69,13.8495249820007,29.9507947942817,140,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
70,70,13.9933785409994,29.959047582607,142,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
71,71,14.1370994019999,29.9564090478327,144,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
72,72,14.2817638270008,29.9556618012411,146,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
73,73,14.4519183459997,29.9548333180022,148,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
74,74,14.5962482289997,29.9548769902968,150,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
75,75,14.7406789630004,29.9551493094087,152,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
76,76,14.8847780870001,29.9551493094087,154,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
77,77,15.0290071180007,29.9552510883849,156,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
78,78,15.174664696,29.9552510883849,158,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
79,79,15.3191120529991,29.9562201438907,160,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
80,80,15.4629160250006,29.954041955226,162,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
81,81,15.6065945610007,29.9540427343851,164,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
82,82,15.7507575910004,29.951866175761,166,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
83,83,15.894082376999,29.9520861474295,168,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
84,84,16.0469225760007,29.9520772784149,170,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
85,85,16.1921798210005,29.9524108553452,172,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
86,86,16.335914579,29.9540959618318,174,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
87,87,16.4795559590002,29.9568077546414,176,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
88,88,16.6227744459993,29.9562931626084,178,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
89,89,16.7661919820002,29.9561315332953,180,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
90,90,16.910236280999,29.958714973786,182,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
91,91,17.0544632159999,29.9596202599205,184,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
92,92,17.1982497970002,29.9539683410438,186,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
93,93,17.3420645250008,29.9507375482957,188,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
94,94,17.485744526999,29.9493334648415,190,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
95,95,17.6423975409998,29.9494487633318,192,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
96,96,17.7938366399994,29.9499904874559,194,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
97,97,17.9377931470008,29.94512563168,196,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
98,98,18.0818910840007,29.9447026870111,198,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
99,99,18.2252499530005,29.9446966623624,200,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
100,100,18.3698075899993,29.9430690546212,202,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
101,101,18.5140776179996,29.9432379927579,204,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
102,102,18.6585842709992,29.9432379927579,206,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
103,103,18.8027354269998,29.9422162386587,208,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
104,104,18.9471803390006,29.946648162961,210,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
105,105,19.0912147899999,29.9447202113078,212,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
106,106,19.2489754979997,29.9383058584958,214,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
107,107,19.4024964469991,29.938416979195,216,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
108,108,19.546433259,29.939208598356,218,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
109,109,19.6932530779995,29.935697662514,220,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
110,110,19.8376690059995,29.935803387716,222,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
111,111,19.9816160840001,29.9328726783666,224,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
112,112,20.1259157250006,29.9563018296898,226,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
113,113,20.270122336,29.9569657785312,228,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
114,114,20.4144776409994,29.9590277237543,230,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
115,115,20.558678804,29.9523930688673,232,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
116,116,20.7034361900005,29.9523930688673,234,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
117,117,20.8574546229993,29.951329588616,236,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
118,118,21.0098159160007,29.951502215291,238,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
119,119,21.1540478799998,29.9517739357491,240,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
120,120,21.2982080460006,29.9522889922694,242,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
121,121,21.4424669689997,29.95164837,244,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
122,122,21.5867276379995,29.9525140156303,246,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
123,123,21.7309526879999,29.9522546911442,248,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
124,124,21.8756590880002,29.949589279126,250,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
125,125,22.020320091,29.9508308530607,252,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
126,126,22.1641884580004,29.9467429720041,254,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
127,127,22.3084327840006,29.9466052370408,256,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
128,128,22.4525863849995,29.9464029661761,258,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
129,129,23.0819548239997,29.9955766719512,260,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
130,130,23.2231717089999,29.9954926858485,262,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
131,131,23.3664228809994,29.9969822292979,264,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
132,132,23.5084003459997,29.9970611361602,266,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
133,133,23.6518141800007,29.9971885642665,268,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
134,134,23.7961873650002,29.9966499266611,270,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
135,135,23.9408966989995,29.9966499274591,272,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
136,136,24.1020637399997,30.0023838484264,274,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
137,137,24.2573035009991,30.002045899231,276,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
138,138,24.4017676200001,30.0020076510651,278,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
139,139,24.5461366830004,30.0055501383289,280,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
140,140,24.6924486820008,30.0062542563055,282,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
141,141,24.8371279830008,30.0084626148332,284,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
142,142,24.9842379260008,30.0082869690797,286,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
143,143,25.129394947,30.0080000050164,288,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
144,144,25.2747598879996,30.0090218966819,290,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
145,145,25.4194363259994,30.0098546093062,292,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
146,146,25.5637565010002,30.0103854382882,294,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
147,147,25.7245278869996,30.0101222968054,296,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
148,148,25.884219517,30.0098167476413,298,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
149,149,26.0343324559999,30.0092195820769,300,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
150,150,26.1801883860007,30.0092195820769,302,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
151,151,26.325810974,30.0092195820769,304,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
152,152,26.4709902049999,30.010198963826,306,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
153,153,26.6156308139998,30.0069215318634,308,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
154,154,26.762646051,30.0060597909849,310,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
155,155,26.9072377009998,30.0066451234988,312,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
156,156,27.0523289310004,30.0142009292755,314,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
157,157,27.1966894739999,30.0128983321955,316,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
158,158,27.3417865009997,30.0149872524989,318,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
159,159,27.5078751689998,30.0149872524989,320,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
160,160,27.6531461720006,30.014534826423,322,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
161,161,27.7988785510006,30.014525161751,324,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
162,162,27.9441756750002,30.014525161751,326,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
163,163,28.0893212419996,30.0145497643613,328,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
164,164,28.2347055989994,30.0128226983609,330,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
165,165,28.3798315410004,30.0129009248405,332,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
166,166,28.5249725680005,30.0128456247243,334,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
167,167,28.6701621350003,30.0116422898553,336,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
168,168,28.8155177169992,30.0123078910757,338,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
169,169,28.9600897420005,30.0173796748185,340,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
170,170,29.1316169359998,30.0166388577529,342,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
171,171,29.2762523769998,30.0166554364037,344,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
172,172,29.4215774379991,30.0143199474417,346,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
173,173,29.5665173899997,30.0143199474417,348,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
174,174,29.7153752680006,30.0123960291565,350,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
175,175,29.8605498199995,30.0117377591656,352,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
176,176,30.0061915440001,30.0117347168805,354,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
177,177,30.1514654809998,30.0169432864721,356,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
178,178,30.2967429790006,30.0171310626273,358,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
179,179,30.4421246820002,30.0169907747495,360,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
180,180,30.5874502320003,30.0264598281407,362,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
181,181,30.7620080100005,30.0266162128305,364,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
182,182,30.9073786770005,30.0275755175995,366,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
183,183,31.0520259219993,30.031072377032,368,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
184,184,31.1984237559991,30.0309238115379,370,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
185,185,31.3438192169997,30.0369327801492,372,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
186,186,31.4894352400006,30.0370755407026,374,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
187,187,31.6342488480004,30.036807437479,376,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
188,188,31.7795564490007,30.0277187324174,378,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
189,189,31.9246879769999,30.0281849192632,380,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
190,190,32.0697224260002,30.0303036247981,382,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
191,191,32.2149561330007,30.030919454993,384,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
192,192,32.3746777249999,30.0314793408966,386,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
193,193,32.5202178990003,30.0298303071056,388,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
194,194,32.6655740400001,30.0308676321845,390,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
195,195,32.8111584239996,30.0325474275708,392,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
196,196,32.9563388419992,30.0258243194314,394,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
197,197,33.1016465129997,30.0270305849871,396,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
198,198,33.2474713629999,30.0327093666855,398,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
199,199,33.3926146249996,30.0309891892396,400,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
200,200,33.5380773449997,30.0304439728049,402,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
201,201,33.6835127560007,30.031549509911,404,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
202,202,33.8296513360001,30.0298078826708,406,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
203,203,34.0060404409996,30.0303841302672,408,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
204,204,34.1514669129992,30.0289955128973,410,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
205,205,34.2968553200008,30.0289955128973,412,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
206,206,34.4425365749994,30.0427363748842,414,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
207,207,34.5878944619999,30.0426879169151,416,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
208,208,34.7344011099995,30.0429093237916,418,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
209,209,34.8799895449993,30.0419408949059,420,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
210,210,35.0250876890004,30.0419408949059,422,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
211,211,35.1706732610001,30.0419339312455,424,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
212,212,35.3161324880002,30.0414915579639,426,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
213,213,35.4615183120004,30.041063454211,428,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
214,214,35.6315129619998,30.0415137248074,430,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
215,215,35.7767768419999,30.0415261623264,432,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
216,216,35.9225859779999,30.0419803976726,434,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
217,217,36.0674039160003,30.0392021209921,436,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
218,218,36.2124114750004,30.0406567864444,438,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
219,219,36.3688643219994,30.0406567864444,440,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
220,220,36.5147659979994,30.0430605424026,442,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
221,221,36.6604429929994,30.0421125190807,444,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
222,222,36.8069228910008,30.0437129415635,446,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
223,223,36.9530248739993,30.0497600326878,448,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
224,224,37.0989002900005,30.0504671758584,450,500,0.1,1,sa,relu,True,True,5,"[500, 500, 10]",0.1,500
