,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_mutation_rates,param_pop_size,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
13,255.6376473903656,0.5302608013153076,0.041252851486206055,0.003525972366333008,relu,"[500, 500, 10]",10.0,0.2,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
14,371.1910037994385,0.6710090637207031,0.038657426834106445,0.005685567855834961,relu,"[500, 500, 10]",10.0,0.2,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.2, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
15,130.7964596748352,0.14987850189208984,0.04543006420135498,0.00046622753143310547,relu,"[500, 500, 10]",10.0,0.4,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
16,255.39578866958618,0.7840156555175781,0.04061901569366455,0.006969094276428223,relu,"[500, 500, 10]",10.0,0.4,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
17,370.0238901376724,0.8371545076370239,0.033524513244628906,0.0001823902130126953,relu,"[500, 500, 10]",10.0,0.4,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'mutation_rates': 0.4, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
18,130.62804758548737,0.14653074741363525,0.048600077629089355,0.0033124685287475586,relu,"[500, 500, 10]",100.0,0.2,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
19,256.10675179958344,0.9690583944320679,0.039130330085754395,0.006363511085510254,relu,"[500, 500, 10]",100.0,0.2,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
20,369.48450314998627,0.8542026281356812,0.04362368583679199,0.00638127326965332,relu,"[500, 500, 10]",100.0,0.2,30,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.2, 'pop_size': 30}",0.44175016608624235,0.45397668009529196,0.44786342309076715,0.006113257004524808,9,0.4586888070754962,0.450011498401041,0.4543501527382686,0.004338654337227604
21,132.13925743103027,0.011025667190551758,0.046959877014160156,0.0065517425537109375,relu,"[500, 500, 10]",100.0,0.4,10,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 10}",0.3873202685660351,0.23553094363038893,0.311425606098212,0.07589466246782307,41,0.4112527615595839,0.2414783822584611,0.3263655719090225,0.0848871896505614
22,257.4321197271347,0.0278242826461792,0.03833639621734619,0.002158045768737793,relu,"[500, 500, 10]",100.0,0.4,20,"{'activation': <function relu at 0x7f9d02a795a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'mutation_rates': 0.4, 'pop_size': 20}",0.4511236218625382,0.46873848353570674,0.4599310526991225,0.008807430836584279,1,0.4627739424735829,0.5013089184505838,0.48204143046208336,0.019267487988500448
