,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
55,512,92.28578898020292,101306,266.13460698298877,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
56,1024,92.28578898020292,101306,266.13460698298877,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
57,2048,92.28578898020292,101306,266.13460698298877,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
58,4096,92.28578898020292,101306,266.13460698298877,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
59,8192,92.28578898020292,101306,266.13460698298877,"[14, 9, 7, 5, 4, 0, 21, 6, 19, 30, 24, 23, 16, 20, 25, 8, 26, 10, 27, 29, 11, 18, 31, 22, 1, 2, 3, 17, 15, 13, 12, 28]",True,200,0.25,8192
60,0,130.83106057819353,200,0.009914296999340877,"[20, 0, 23, 12, 29, 9, 1, 21, 14, 16, 25, 19, 10, 4, 6, 3, 27, 5, 30, 24, 17, 2, 7, 28, 26, 18, 11, 22, 31, 13, 15, 8]",True,200,0.5,8192
61,1,101.89787318872695,402,0.5093314829864539,"[10, 14, 31, 30, 2, 19, 20, 12, 11, 22, 21, 7, 1, 25, 24, 8, 28, 16, 17, 23, 26, 4, 3, 0, 18, 27, 29, 15, 5, 6, 9, 13]",True,200,0.5,8192
62,2,101.89787318872695,603,1.0094885069993325,"[10, 14, 31, 30, 2, 19, 20, 12, 11, 22, 21, 7, 1, 25, 24, 8, 28, 16, 17, 23, 26, 4, 3, 0, 18, 27, 29, 15, 5, 6, 9, 13]",True,200,0.5,8192
63,4,94.09880662522067,1007,1.99064646899933,"[12, 9, 29, 22, 5, 10, 27, 2, 1, 21, 24, 28, 13, 25, 31, 3, 30, 17, 18, 15, 16, 0, 19, 20, 23, 14, 8, 6, 4, 7, 26, 11]",True,200,0.5,8192
64,8,94.09880662522067,1811,3.9142836929822806,"[12, 9, 29, 22, 5, 10, 27, 2, 1, 21, 24, 28, 13, 25, 31, 3, 30, 17, 18, 15, 16, 0, 19, 20, 23, 14, 8, 6, 4, 7, 26, 11]",True,200,0.5,8192
65,16,86.8188103215557,3422,7.687113226973452,"[7, 25, 3, 4, 6, 8, 27, 9, 12, 16, 20, 17, 21, 5, 2, 1, 26, 23, 0, 31, 22, 24, 13, 11, 10, 14, 19, 30, 29, 15, 18, 28]",True,200,0.5,8192
66,32,83.0222981821956,6640,15.846729073993629,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
67,64,83.0222981821956,13072,33.02903157597757,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
68,128,83.0222981821956,25936,67.18914495699573,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
69,256,83.0222981821956,51664,136.3171094849822,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
70,512,83.0222981821956,103120,272.4587058859761,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
71,1024,83.0222981821956,105331,278.38984597599483,"[7, 25, 5, 4, 6, 8, 28, 9, 12, 0, 20, 17, 21, 22, 2, 3, 26, 24, 23, 31, 30, 14, 13, 11, 10, 27, 19, 16, 29, 15, 18, 1]",True,200,0.5,8192
