,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
66,32,7.0,6636,7.990255646000151,"[3, 14, 15, 13, 2, 16, 13, 10, 17, 2, 11, 19, 6, 19, 0, 7, 4, 12, 9, 18]",200,0.5,8192
67,64,4.0,13071,15.408233502996154,"[3, 14, 10, 5, 2, 16, 13, 7, 1, 2, 0, 15, 6, 19, 19, 1, 4, 12, 9, 18]",200,0.5,8192
68,128,2.0,25937,22.157946872001048,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
69,256,2.0,51665,35.05662857700372,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
70,512,2.0,103121,62.80025137600023,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
71,1024,2.0,114779,68.65700896500493,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
72,2048,2.0,114779,68.65700896500493,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
73,4096,2.0,114779,68.65700896500493,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
74,8192,2.0,114779,68.65700896500493,"[3, 14, 10, 5, 1, 16, 13, 17, 17, 2, 0, 15, 6, 19, 19, 7, 4, 12, 9, 18]",200,0.5,8192
75,0,24.0,200,0.091492086998187,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",200,0.6,8192
76,1,12.0,402,0.1970865280018188,"[4, 8, 3, 9, 0, 13, 9, 1, 5, 11, 0, 3, 5, 19, 17, 4, 0, 2, 16, 3]",200,0.6,8192
77,2,11.0,604,0.3030675440095365,"[10, 19, 11, 8, 13, 7, 14, 9, 11, 5, 8, 4, 0, 12, 1, 6, 16, 9, 9, 5]",200,0.6,8192
78,4,10.0,1007,0.5083253740158398,"[17, 14, 19, 6, 19, 0, 0, 11, 7, 14, 2, 18, 8, 15, 4, 1, 0, 5, 9, 19]",200,0.6,8192
79,8,9.0,1812,0.9120936700201128,"[10, 14, 3, 17, 7, 1, 15, 19, 6, 11, 2, 5, 18, 11, 5, 3, 16, 18, 13, 16]",200,0.6,8192
80,16,8.0,3421,1.709083494002698,"[2, 6, 19, 16, 13, 14, 0, 8, 7, 5, 10, 18, 0, 15, 17, 1, 17, 7, 9, 3]",200,0.6,8192
81,32,6.0,6638,3.3021763600117993,"[4, 6, 19, 16, 13, 14, 0, 11, 7, 5, 2, 18, 8, 15, 17, 1, 17, 7, 9, 3]",200,0.6,8192
82,64,4.0,13072,6.479255954007385,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 5, 2, 18, 18, 15, 17, 1, 17, 7, 9, 3]",200,0.6,8192
83,128,2.0,25938,12.843179959018016,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
84,256,2.0,51666,25.69580018200213,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
85,512,2.0,103122,53.296413852018304,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
86,1024,2.0,118599,60.97837571101263,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
87,2048,2.0,118599,60.97837571101263,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
88,4096,2.0,118599,60.97837571101263,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
89,8192,2.0,118599,60.97837571101263,"[10, 6, 19, 16, 13, 3, 0, 11, 7, 17, 2, 18, 8, 15, 17, 1, 17, 5, 9, 4]",200,0.6,8192
